,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,5042,"5042 - Nurtury, Inc.","Nurtury, Inc.","$175,000.00","$175,000.00",Former Education Strategies,planning for a Boston Early Childhood Data Center,3/7/2014,Grants,2014,Education
,6200,"6200 - Mothers2Mothers International, Inc.","Mothers2Mothers International, Inc.","$175,000.00","$175,000.00",Global/Exploratory and Learning/Women and Girls,To continue capacity building and technical assistance for the Kenya Mentor Mother Program as well as transition support for the m2m managed and Barr-funded model sites,10/28/2015,Global Grants,2015,Old
,6658,6658 - HUBWeek,HUBWeek,"$175,000.00","$175,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships,"To fund HUBweek?Äôs new Director of Art and Creative Initiatives position, and the planning and implementation of its arts, culture, and engagement initiatives",8/31/2016,Grants,2016,Arts
,18-07219,18-07219 - Innovation Network for Communities,Innovation Network for Communities,"$175,000.00","$175,000.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,to support the Green Ribbon Commission's climate adaptation finance forum and research on legal barriers and solutions to climate resilience planning,9/19/2018,Grants,2018,Climate
,18-07206,18-07206 - BoardSource,BoardSource,"$175,000.00","$175,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,to provide general operating support,6/27/2018,Grants,2018,SectorEffect
,19-08244,"19-08244 - Preparatory Foundation, Inc.","Preparatory Foundation, Inc.","$175,000.00","$175,000.00",Education/New Models,To build a community-driven portrait of a high school graduate,12/4/2019,Grants,2019,Education
,20-08992,20-08992 - American Council for an Energy Efficient Economy,American Council for an Energy Efficient Economy,"$175,000.00","$175,000.00",Climate/Clean Energy/Support National and Local Networks,To develop equity metrics in partnership with equity-centered partners for ACEEE scorecards,11/30/2020,Grants,2020,Climate
,20-08587,"20-08587 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$175,000.00","$175,000.00",Climate/Mobility/Modernize the Region's Transportation System,To advance employer best practices in transportation demand management and decarbonization,6/30/2020,Grants,2020,Climate
,19-08360,19-08360 - Chambers for Innovation and Clean Energy,Chambers for Innovation and Clean Energy,"$175,000.00","$175,000.00",Climate/Clean Energy/Support National and Local Networks,To provide an exit grant to support leadership succession and core programs,1/29/2020,Grants,2020,Climate
,20-08773,20-08773 - Digital Ready,Digital Ready,"$175,000.00","$175,000.00",Education/New Models,To support continued piloting and design of Digital Ready High School,7/28/2020,Grants,2020,Education
,20-08999,"20-08999 - Boston Foundation, Inc.","Boston Foundation, Inc.","$175,000.00","$175,000.00",Special Initiatives/Unassigned,To provide core support for its New Commonwealth Racial Equity and Social Justice Fund program,11/30/2020,Grants,2020,SpecialInit
,21-09498,21-09498 - Mattapan Food and Fitness Coalition,Mattapan Food and Fitness Coalition,"$175,000.00","$175,000.00",Climate/Climate (Top Level),To provide program support for Mattapan Food and Fitness Coalition,8/31/2021,Grants,2021,Climate
,21-09313,21-09313 - BoardSource,BoardSource,"$175,000.00","$175,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector,To provide general operating support,6/30/2021,Grants,2021,SectorEffect
,21-09261,21-09261 - Black Boston COVID-19 Coalition,Black Boston COVID-19 Coalition,"$175,000.00","$175,000.00",Special Initiatives/COVID-19 Response Fund,To provide support to its Black Boston COVID-19 Coalition program for COVID-19 relief and vaccine equity efforts in predominantly Black communities of Boston,3/11/2021,Grants,2021,SpecialInit
,22-35261,"22-35261 - Worcester Cultural Coalition, Inc.","Worcester Cultural Coalition, Inc.","$175,000.00","$175,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To support BIPOC-led and BIPOC-focused groups, BIPOC artists, underserved communities such as LGBTQIA and ethnic groups, and WCC member organizations boost their engagement and resiliency coming out of the pandemic with access to JMAC and its resources and for WCC to create a new strategic plan",11/29/2022,Grants,2022,Arts
,22-34680,"22-34680 - Massachusetts Voter Education Network, Inc.","Massachusetts Voter Education Network, Inc.","$175,000.00","$175,000.00",Sector Effectiveness/Inform Sound Decision-Making,To provide general operating support,3/29/2022,Grants,2022,SectorEffect
,23-35761,"23-35761 - Boston Cyclists Union, Inc.","Boston Cyclists Union, Inc.","$175,000.00","$175,000.00",Climate/Mobility,to support an organizational strategic transformation and realignment,9/26/2023,Grants,2023,Climate
,6600,6600 - Massachusetts Association of School Superintendents,Massachusetts Association of School Superintendents,"$177,000.00","$177,000.00",Education/Secondary & Post-Secondary Achievement/Support new school models and programs,To refine the New Superintendents' Induction Program to include a vision for personalized learning,6/28/2016,Grants,2016,Education
,6103,6103 - Arts Midwest,Arts Midwest,"$180,000.00","$180,000.00","Arts and Creativity/Activate Public Support/Advocacy, Research, and Policy","To plan and launch an initiative that will build public support for the arts, to conduct Massachusetts-specific research, and to add training activities in Western Massachusetts",10/28/2015,Grants,2015,Arts
,5748,5748 - Acadia Center,Acadia Center,"$180,000.00","$180,000.00",Climate/Clean Energy,to Advance Support and Awareness for an EnergyVision Future,3/2/2015,Grants,2015,Climate
,6652,"6652 - Center for Collaborative Education Metro Boston, Inc.","Center for Collaborative Education Metro Boston, Inc.","$180,000.00","$180,000.00",Education/Building Public Will,To research the high school characteristics and postsecondary success among Boston Public School graduates,8/2/2016,Grants,2016,Education
,17-06306,"17-06306 - Massachusetts Law Reform Institute, Inc.","Massachusetts Law Reform Institute, Inc.","$180,000.00","$180,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,To provide core support,3/27/2017,Grants,2017,SpecialInit
,18-06910,"18-06910 - New England Grassroots Environment Fund, Inc.","New England Grassroots Environment Fund, Inc.","$180,000.00","$180,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to support grassroots engagement that promotes clean energy deployment in New England,4/5/2018,Grants,2018,Climate
,18-07266,"18-07266 - Social Innovation Forum, Inc.","Social Innovation Forum, Inc.","$180,000.00","$180,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To provide core support,9/19/2018,Grants,2018,SectorEffect
,23-35651,23-35651 - Listen4Good,Listen4Good,"$180,000.00","$180,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,to support the launch of the New England Equitable Access Project,7/21/2023,Grants,2023,SectorEffect
,5106,5106 - Smart Growth America,Smart Growth America,"$182,000.00","$182,000.00",Climate/Mobility/Develop Low-Carbon Communities,Walkable Urban Places in Metro Boston ?Äì Market Growth Research,3/7/2014,Grants,2014,Climate
,21-09455,"21-09455 - Cape Ann Museum, Inc.","Cape Ann Museum, Inc.","$184,375.00","$184,375.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,21-09474,"21-09474 - Speak Easy Stage, Inc.","Speak Easy Stage, Inc.","$184,375.00","$184,375.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,16-01502,16-01502 - Consensus Building Institute,Consensus Building Institute,"$184,600.00","$184,600.00",Climate/Mobility/Modernize the Region's Transportation System,"To plan, design, and execute a series of ?ÄúCommonwealth Conversations"" on Sustainable Mobility",1/4/2017,Grants,2017,Climate
,6133,"6133 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$185,000.00","$185,000.00",Climate/Clean Energy,To hire a senior-level staff position to educate members on energy issues,12/2/2015,Grants,2015,Climate
,19-08251,19-08251 - Holyoke Public Schools,Holyoke Public Schools,"$185,000.00","$185,000.00",Education/Invest In Educators,To support a strategic planning process aimed at strengthening school leadership (as part of the School Leadership cohort),10/29/2019,Grants,2019,Education
,22-35023,"22-35023 - SouthCoast Community Foundation, Inc.","SouthCoast Community Foundation, Inc.","$185,000.00","$185,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support strategic planning,11/29/2022,Grants,2022,Arts
,18-07145,"18-07145 - Cape Ann Museum, Inc.","Cape Ann Museum, Inc.","$187,500.00","$187,500.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in the Barr Klarman Massachusetts Arts Initiative,9/19/2018,Grants,2018,Arts
,18-07147,"18-07147 - Community Music School of Springfield, Inc.","Community Music School of Springfield, Inc.","$187,500.00","$187,500.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in the Barr Klarman Massachusetts Arts Initiative,9/19/2018,Grants,2018,Arts
,18-07162,"18-07162 - Provincetown Art Association, Inc.","Provincetown Art Association, Inc.","$187,500.00","$187,500.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in the Barr Klarman Massachusetts Arts Initiative,9/19/2018,Grants,2018,Arts
,18-07165,"18-07165 - Speak Easy Stage, Inc.","Speak Easy Stage, Inc.","$187,500.00","$187,500.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in the Barr Klarman Massachusetts Arts Initiative,9/19/2018,Grants,2018,Arts
,6163,6163 - Innovation Network for Communities,Innovation Network for Communities,"$190,000.00","$190,000.00",Climate/Clean Energy,To support a European climate innovations study trip focused on carbon neutrality and long-term climate resilience,9/25/2015,Grants,2015,Climate
,6310,6310 - Advanced Energy Economy Institute,Advanced Energy Economy Institute,"$190,000.00","$190,000.00",Climate/Clean Energy,To develop a roadmap for a 21st century electricity system in New England and Pennsylvania and promote a robust Clean Power Plan in Pennsylvania,1/4/2016,Grants,2016,Climate
,19-07778,"19-07778 - Theater Offensive, Inc.","Theater Offensive, Inc.","$190,000.00","$190,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support a comprehensive feasibility study for procuring a dedicated performance space,2/28/2019,Grants,2019,Arts
,19-08252,"19-08252 - Springfield Empowerment Zone Partnership, Inc.","Springfield Empowerment Zone Partnership, Inc.","$190,000.00","$190,000.00",Education/Invest In Educators,To support a strategic planning process aimed at strengthening school leadership (as part of the School Leadership cohort) and implement a spring and summer learning model in response to COVID-19,10/29/2019,Grants,2019,Education
,23-35459,"23-35459 - Clean Energy States Alliance, Inc.","Clean Energy States Alliance, Inc.","$190,000.00","$190,000.00",Climate/Clean Energy,To support informing the development of equitable offshore wind policies in the Northeast,5/2/2023,Grants,2023,Climate
,23-35737,23-35737 - Thomas B. Fordham Institute,Thomas B. Fordham Institute,"$193,000.00","$193,000.00",Education/New Models,to study the impact of different high school math pathways,9/26/2023,Grants,2023,Education
,20-09075,"20-09075 - The Teacher Collaborative, Inc.","The Teacher Collaborative, Inc.","$195,751.99","$195,751.99",Education/Invest In Educators,to provide core support,12/4/2018,Grants,2018,Education
,21-09472,"21-09472 - Provincetown Art Association, Inc.","Provincetown Art Association, Inc.","$196,375.00","$196,375.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,21-09457,"21-09457 - Community Music School of Springfield, Inc.","Community Music School of Springfield, Inc.","$196,375.00","$196,375.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,5477,"5477 - Union of Concerned Scientists, Inc.","Union of Concerned Scientists, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Support National and Local Networks,Creating Conditions for Broad Support for Climate Change Action,9/17/2014,Grants,2014,Climate
,5485,5485 - Transportation for America,Transportation for America,"$200,000.00","$200,000.00",Climate/Mobility/Modernize the Region's Transportation System,Making Massachusetts a National Model for Sustainable Transportation,12/3/2014,Grants,2014,Climate
,5597,"5597 - Massachusetts Business Alliance for Education, Inc.","Massachusetts Business Alliance for Education, Inc.","$200,000.00","$200,000.00",Former Education Strategies,New Opportunity to Lead,12/3/2014,Grants,2014,Education
,5171,"5171 - Friends of Excel Academy, Inc.","Friends of Excel Academy, Inc.","$200,000.00","$200,000.00",Former Education Strategies,the Excel Academy Charter High School Capital Down Payment,6/4/2014,Grants,2014,Education
,5090,"5090 - Nurtury, Inc.","Nurtury, Inc.","$200,000.00","$200,000.00",Former Education Strategies,the Launch of the Learning Center at Bromley-Heath,6/4/2014,Grants,2014,Education
,5551,"5551 - KickStart-International, Inc.","KickStart-International, Inc.","$200,000.00","$200,000.00",Global/Sustainable Agriculture,Build New Partnerships for Promoting and Selling MoneyMaker Water Pumps,9/17/2014,Global Grants,2014,Old
,5065,5065 - North Bennet Street School,North Bennet Street School,"$200,000.00","$200,000.00",Special Initiatives/Founding Trustee-Directed/Climate,to support Solar Energy Systems at 150 North Street,3/7/2014,Grants,2014,SpecialInit
,6026,6026 - Emerson College,Emerson College,"$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative",9/16/2015,Grants,2015,Arts
,5794,5794 - Museum of African American History,Museum of African American History,"$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Small Mid-Sized Cohort of the Barr-Klarman Arts Capacity Building Initiative,3/2/2015,Grants,2015,Arts
,5789,"5789 - Boston Center for the Arts, Inc.","Boston Center for the Arts, Inc.","$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Small Mid-Sized Cohort of the Barr-Klarman Arts Capacity Building Initiative,3/2/2015,Grants,2015,Arts
,5790,5790 - Boston Lyric Opera Company,Boston Lyric Opera Company,"$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Small Mid-Sized Cohort of the Barr-Klarman Arts Capacity Building Initiative,3/2/2015,Grants,2015,Arts
,5940,5940 - Vote Solar,Vote Solar,"$200,000.00","$200,000.00",Climate/Clean Energy,Accelerating Solar Energy in New England,6/23/2015,Grants,2015,Climate
,5758,"5758 - RAR-MA, Inc.","RAR-MA, Inc.","$200,000.00","$200,000.00",Former Education Strategies,Raising A Reader Boston,3/2/2015,Grants,2015,Education
,5947,5947 - KOMAZA,KOMAZA,"$200,000.00","$200,000.00",Global/Sustainable Agriculture,Continue Nursery Expansion and IT/M&E Activities.,6/23/2015,Global Grants,2015,Old
,6035,6035 - Fondation pour la Protection de la Biodiversit?© Marine,Fondation pour la Protection de la Biodiversit?© Marine,"$200,000.00","$200,000.00",Global/Exploratory and Learning/Climate Resilience,To mobilize and strengthen capacity of targeted stakeholder groups in the Parc National des Trois Baies in northeast Haiti to participate actively in the management of the newly designated Marine Managed Area,9/16/2015,Global Grants,2015,Old
,6268,6268 - Federal Reserve Bank of Boston,Federal Reserve Bank of Boston,"$200,000.00","$200,000.00",Sector Effectiveness/Inform Sound Decision-Making/Support the Provision and Use of Credible Information,To support its work with the Federal Reserve Bank of Boston as it commissions independent evaluations and shares lessons learned on round two of the Massachusetts Working Cities Challenge,11/30/2015,Grants,2015,SectorEffect
,6454,6454 - Innovation Network for Communities,Innovation Network for Communities,"$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support the Green Ribbon Commission 80X50 Initiative to advance the City of Boston?Äôs deep de-carbonization goals,3/30/2016,Grants,2016,Climate
,6740,"6740 - Massachusetts Communities Action Network, Inc.","Massachusetts Communities Action Network, Inc.","$200,000.00","$200,000.00",Education/New Models,To expand access to high-quality vocational technical education in Massachusetts,12/7/2016,Grants,2016,Education
,6743,"6743 - College Bound Dorchester, Inc.","College Bound Dorchester, Inc.","$200,000.00","$200,000.00",Education/New Models,To support an external evaluation for the Core Influencer College Pathway Initiative,12/7/2016,Grants,2016,Education
,6757,"6757 - LearnLaunch, Inc.","LearnLaunch, Inc.","$200,000.00","$200,000.00",Education/Secondary & Post-Secondary Achievement/Support new school models and programs,To support the implementation of the MAPLE Consortium,12/7/2016,Grants,2016,Education
,6535,"6535 - Massachusetts Advocates for Children, Inc.","Massachusetts Advocates for Children, Inc.","$200,000.00","$200,000.00",Education/Secondary & Post-Secondary Achievement/Target prioritized system improvements,to provide general operating and capacity-building support,5/27/2016,Grants,2016,Education
,6610,6610 - EDUCAUSE,EDUCAUSE,"$200,000.00","$200,000.00",Education/Secondary & Post-Secondary Achievement/Promote a new definition of student success,To support MyWays Project Development and Dissemination,6/28/2016,Grants,2016,Education
,6364,"6364 - Massachusetts Nonprofit Network, Inc.","Massachusetts Nonprofit Network, Inc.","$200,000.00","$200,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To support staffing and new policy engagement,2/2/2016,Grants,2016,SectorEffect
,17-06428,"17-06428 - Beyond Walls, Inc.","Beyond Walls, Inc.","$200,000.00","$200,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,"To support the installation, marketing, and documentation of the 2017 Beyond Walls public art project in Lynn, and planning for 2018 and for strategic planning",6/21/2017,Grants,2017,Arts
,17-06203,17-06203 - Vote Solar,Vote Solar,"$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to sustain and expand New England's solar leadership,6/14/2017,Grants,2017,Climate
,17-06280,"17-06280 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To strengthen grassroots organizing capacity to support the Green Justice Coalition?Äôs statewide clean energy efforts,6/14/2017,Grants,2017,Climate
,16-01421,"16-01421 - Mothers Out Front, Inc.","Mothers Out Front, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support building a movement of mothers in the region working for clean energy and climate action.,3/8/2017,Grants,2017,Climate
,17-06571,17-06571 - Merck Family Fund,Merck Family Fund,"$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,"To support research and objective analysis to strengthen the Regional Greenhouse Gas Initiative
---
Disclosure: Susan Tierney, Barr Foundation Trustee, is a Senior Advisor for the Analysis Group. Merck Family Fund intends to retain the services of the Analysis Group.",9/26/2017,Grants,2017,Climate
,17-06608,"17-06608 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,"to support research, analysis, and advocacy on energy efficiency programs in New England",10/31/2017,Grants,2017,Climate
,16-01418,"16-01418 - Teach for America, Inc.","Teach for America, Inc.","$200,000.00","$200,000.00",Education/Invest In Educators,To support general operations,3/8/2017,Grants,2017,Education
,16-01494,"16-01494 - RAR-MA, Inc.","RAR-MA, Inc.","$200,000.00","$200,000.00",Education/Transition Grants/Early Education,To support Raising A Reader in Boston,3/8/2017,Grants,2017,Education
,17-06322,"17-06322 - Massachusetts Charter Public School Association, Inc.","Massachusetts Charter Public School Association, Inc.","$200,000.00","$200,000.00",Education/Secondary & Post-Secondary Achievement/Support new school models and programs,To support general operations,5/22/2017,Grants,2017,Education
,17-06536,17-06536 - Collaborative for Educational Services,Collaborative for Educational Services,"$200,000.00","$200,000.00",Education/New Models,to support the planning and redesign of Turners Falls High School,11/21/2017,Grants,2017,Education
,17-06548,17-06548 - Massachusetts Association of School Superintendents,Massachusetts Association of School Superintendents,"$200,000.00","$200,000.00",Education/Invest In Educators,To continue to refine the New Superintendents' Induction Program,11/21/2017,Grants,2017,Education
,17-06589,"17-06589 - Boston After School & Beyond, Inc.","Boston After School & Beyond, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,to support general operations and enhance the ACT Skills Framework,10/31/2017,Grants,2017,Education
,17-06498,17-06498 - Greater Boston Immigrant Defense Fund,Greater Boston Immigrant Defense Fund,"$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,"To support the Greater Boston Delivering on the Dream collaborative fund in support of immigrant and refugee communities through legal assistance, community outreach, and network infrastructure",7/13/2017,Grants,2017,SpecialInit
,17-06287,"17-06287 - Committee to Protect Journalists, Inc.","Committee to Protect Journalists, Inc.","$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Strengthen Journalism,To provide core support for activities in the United States,3/27/2017,Grants,2017,SpecialInit
,18-07117,"18-07117 - New England Foundation for the Arts, Inc.","New England Foundation for the Arts, Inc.","$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To operationalize NEFA's strategic plan,6/27/2018,Grants,2018,Arts
,18-07072,"18-07072 - Beyond Walls, Inc.","Beyond Walls, Inc.","$200,000.00","$200,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,To support Beyond Walls?Äô 2018 Mural Festival,6/27/2018,Grants,2018,Arts
,18-07100,"18-07100 - Applied Economics Clinic, Inc.","Applied Economics Clinic, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support independent clean energy research and analysis in New England,5/31/2018,Grants,2018,Climate
,18-06906,"18-06906 - Livable Streets Transportation Alliance of Boston, Inc.","Livable Streets Transportation Alliance of Boston, Inc.","$200,000.00","$200,000.00",Climate/Mobility/Modernize the Region's Transportation System,to build an accountability framework for Go Boston 2030 implementation,6/20/2018,Grants,2018,Climate
,18-07553,"18-07553 - Massachusetts Communities Action Network, Inc.","Massachusetts Communities Action Network, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,To support continued advocacy for equitable access to high-quality vocational technical education in Massachusetts,12/6/2018,Grants,2018,Education
,18-07569,"18-07569 - The Boston Private Industry Council, Inc.","The Boston Private Industry Council, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,"To support the advancement of  recommendations from the Opportunity Youth Collaborative report, ?ÄúNew Directions: Creating Career Pathways for and with Opportunity Youth?Äù",12/6/2018,Grants,2018,Education
,18-06922,"18-06922 - Equity Lab Charter Schools, Inc.","Equity Lab Charter Schools, Inc.","$200,000.00","$200,000.00",Education/New Models,"To support planning for Equity Lab Charter School in Lawrence, MA",4/27/2018,Grants,2018,Education
,18-07155,18-07155 - FutureEd,FutureEd,"$200,000.00","$200,000.00",Education/Invest In Educators,to support the Teacher Mindset project,5/31/2018,Grants,2018,Education
,18-07348,"18-07348 - Empower Schools, Inc.","Empower Schools, Inc.","$200,000.00","$200,000.00",Education/New Models,To provide ongoing strategic support to the Springfield Empowerment Zone Partnership,10/31/2018,Grants,2018,Education
,18-07378,18-07378 - Kreiva Academy Public Charter School,Kreiva Academy Public Charter School,"$200,000.00","$200,000.00",Education/New Models,To support the launch of Kreiva Academy Public Charter School,8/28/2018,Grants,2018,Education
,18-07427,"18-07427 - Latinos for Education, Inc.","Latinos for Education, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,To support advocacy work in Massachusetts and programming in Greater Boston,10/31/2018,Grants,2018,Education
,17-06779,17-06779 - Buck Institute for Education,Buck Institute for Education,"$200,000.00","$200,000.00",Education/New Models,to support general operations,3/22/2018,Grants,2018,Education
,18-07124,18-07124 - Greater Boston Immigrant Defense Fund,Greater Boston Immigrant Defense Fund,"$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to support the Greater Boston Immigrant Defense Fund,5/30/2018,Grants,2018,SpecialInit
,18-07132,"18-07132 - Centro Presente, Inc.","Centro Presente, Inc.","$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to provide core support,5/30/2018,Grants,2018,SpecialInit
,18-07140,"18-07140 - Massachusetts Voter Education Network, Inc.","Massachusetts Voter Education Network, Inc.","$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Ensure A Fair Census,to support Census education and outreach,5/30/2018,Grants,2018,SpecialInit
,18-07141,18-07141 - New Venture Fund,New Venture Fund,"$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Ensure A Fair Census,to support the Census 2020 Project,5/30/2018,Grants,2018,SpecialInit
,18-07142,"18-07142 - Leadership Conference Education Fund, Inc.","Leadership Conference Education Fund, Inc.","$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Ensure A Fair Census,"for education, policy, and communications activities to promote a fair and accurate 2020 Census",5/30/2018,Grants,2018,SpecialInit
,18-07356,18-07356 - NEO Philanthropy,NEO Philanthropy,"$200,000.00","$200,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,to support the Four Freedom Fund's Rapid Response Fund,7/9/2018,Grants,2018,SpecialInit
,19-07903,19-07903 - Brown University of Providence State of RI and Prov Plantations,Brown University of Providence State of RI and Prov Plantations,"$200,000.00","$200,000.00",Climate/Clean Energy,,7/2/2019,Grants,2019,Climate
,19-07925,19-07925 - Home Energy Efficiency Team,Home Energy Efficiency Team,"$200,000.00","$200,000.00",Climate/Clean Energy,To support GeoMicroDistrict project and the development of an organizational structure sufficient to meet clean energy priorities,7/26/2019,Grants,2019,Climate
,18-07495,"18-07495 - Mothers Out Front, Inc.","Mothers Out Front, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to support building a movement of mothers in the region working for clean energy and climate action,2/28/2019,Grants,2019,Climate
,18-07609,18-07609 - The Nature Conservancy,The Nature Conservancy,"$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to build bipartisan support for clean energy,5/29/2019,Grants,2019,Climate
,18-07610,18-07610 - Vote Solar,Vote Solar,"$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to sustain and expand New England's solar leadership,5/29/2019,Grants,2019,Climate
,18-07611,"18-07611 - Environmental Defense Fund, Inc.","Environmental Defense Fund, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to build bipartisan support for clean energy,5/29/2019,Grants,2019,Climate
,19-07770,19-07770 - Massachusetts Department of Elementary and Secondary Education,Massachusetts Department of Elementary and Secondary Education,"$200,000.00","$200,000.00",Education/Invest In Educators,"to support the pilot phase of Influence100. Disclosure: Barr?Äôs Senior Program Officer, Jenny Curtin?Äôs spouse, Rob Curtin, is associate commissioner at the Massachusetts Department of Elementary and Secondary Education?Äôs Office of Data & Accountability. His office is not connected with this project and no part of this grant will be used toward his compensation.",4/30/2019,Grants,2019,Education
,19-08180,"19-08180 - Boston Foundation, Inc.","Boston Foundation, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,To support the Boston Opportunity Agenda in the final planning and implementation phases of the College Career and Life Readiness campaign,12/3/2019,Grants,2019,Education
,19-07837,19-07837 - Fall River Public Schools,Fall River Public Schools,"$200,000.00","$200,000.00",Education/New Models,For the continued planning and piloting of a redesigned school model for Resiliency Preparatory Academy,6/18/2019,Grants,2019,Education
,19-07839,19-07839 - Somerville Public Schools,Somerville Public Schools,"$200,000.00","$200,000.00",Education/New Models,For the continued planning and piloting of a redesigned school model for Next Wave/Full Circle,6/18/2019,Grants,2019,Education
,19-07989,"19-07989 - Education Reform Now, Inc.","Education Reform Now, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,"To support the Massachusetts chapter?Äôs Education Issue Primer, Student Demographics Project, and Capacity & Network Building",8/29/2019,Grants,2019,Education
,19-07991,19-07991 - Next Generation Learning Challenges,Next Generation Learning Challenges,"$200,000.00","$200,000.00",Education/Building Public Will,to support a multi-stakeholder learning excursion,8/29/2019,Grants,2019,Education
,18-07567,"18-07567 - Massachusetts Parents United, Inc.","Massachusetts Parents United, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,to provide general operating support,1/3/2019,Grants,2019,Education
,19-08253,19-08253 - Gardner Public Schools,Gardner Public Schools,"$200,000.00","$200,000.00",Education/Invest In Educators,To support a strategic planning process aimed at strengthening school leadership (as part of the School Leadership cohort),10/29/2019,Grants,2019,Education
,19-08250,19-08250 - Chelsea Public Schools,Chelsea Public Schools,"$200,000.00","$200,000.00",Education/Invest In Educators,To support a strategic planning process aimed at strengthening school leadership (as part of the School Leadership cohort),10/29/2019,Grants,2019,Education
